Date	Station_Volumn
2017-10-17	6165 
2017-10-18	5912 
2017-10-19	5963 
2017-10-20	6271 
2017-10-21	7159 
2017-10-22	11093 
2017-10-23	5995 
2017-10-24	6726 
2017-10-25	8349 
2017-10-26	7380 
2017-10-27	7445 
2017-10-28	10879 
2017-10-29	13100 
2017-10-30	5784 
2017-10-31	7701 
2017-11-01	7139 
2017-11-02	7358 
2017-11-03	6474 
2017-11-04	9177 
2017-11-05	11804 
2017-11-06	6486 
2017-11-07	7420 
2017-11-08	6565 
2017-11-09	6650 
2017-11-10	8563 
2017-11-11	11267 
2017-11-12	9911 
2017-11-13	5426 
2017-11-14	6458 
2017-11-15	7261 
2017-11-16	7807 
2017-11-17	8601 
2017-11-18	9194 
2017-11-19	7875 
2017-11-20	5608 
2017-11-21	7191 
2017-11-22	6557 
2017-11-23	6265 
2017-11-24	7662 
2017-11-25	6493 
2017-11-26	9098 
2017-11-27	6178 
2017-11-28	8628 
2017-11-29	7922 
2017-11-30	6778 
2017-12-01	6775 
2017-12-02	8257 
2017-12-03	9335 
2017-12-04	6640 
2017-12-05	6570 
2017-12-06	6547 
2017-12-07	6294 
2017-12-08	6947 
2017-12-09	7595 
2017-12-10	14094 
2017-12-11	6641 
2017-12-12	6749 
2017-12-13	6493 
2017-12-14	7945 
2017-12-15	9167 
2017-12-16	8726 
2017-12-17	8689 
2017-12-18	5935 
2017-12-19	5778 
2017-12-20	7796 
2017-12-21	8269 
2017-12-22	9030 
2017-12-23	14776 
2017-12-24	13612 
2017-12-25	8296 
2017-12-26	9679 
2017-12-27	9000 
2017-12-28	9679 
2017-12-29	10039 
2017-12-30	13113 
2017-12-31	16955 
2018-01-01	14915 
2018-01-02	8911 
2018-01-03	8417 
2018-01-04	7968 
2018-01-05	6158 
2018-01-06	5402 
2018-01-07	3552 
2018-01-08	4249 
2018-01-09	5135 
2018-01-10	6583 
2018-01-11	6733 
2018-01-12	7158 
2018-01-13	9323 
2018-01-14	12000 
2018-01-15	5900 
2018-01-16	7793 
2018-01-17	6948 
2018-01-18	6408 
2018-01-19	5392 
2018-01-20	7170 
2018-01-21	10374 
2018-01-22	6982 
2018-01-23	8558 
2018-01-24	6373 
2018-01-25	8137 
2018-01-26	7364 
2018-01-27	10779 
2018-01-28	5576 
2018-01-29	4241 
2018-01-30	5210 
2018-01-31	5356 
2018-02-01	5427 
2018-02-02	6288 
2018-02-03	4595 
2018-02-04	3808 
2018-02-05	3995 
2018-02-06	6251 
2018-02-07	4949 
2018-02-08	5653 
2018-02-09	6834 
2018-02-10	5832 
2018-02-11	5843 
2018-02-12	6810 
2018-02-13	8119 
2018-02-14	7387 
2018-02-15	2233 
2018-02-16	19220 
2018-02-17	17607 
2018-02-18	27462 
2018-02-19	21615 
2018-02-20	13232 
2018-02-21	6424 
2018-02-22	6023 
2018-02-23	7382 
2018-02-24	10887 
2018-02-25	7392 
2018-02-26	6005 
2018-02-27	8724 
2018-02-28	8141 
2018-03-01	7393 
2018-03-02	11272 
2018-03-03	11730 
2018-03-04	12012 
2018-03-05	5848 
2018-03-06	6132 
2018-03-07	7096 
2018-03-08	5165 
2018-03-09	6929 
2018-03-10	12882 
2018-03-11	14821 
2018-03-12	6660 
2018-03-13	8205 
2018-03-14	7907 
2018-03-15	7214 
2018-03-16	6977 
2018-03-17	10582 
2018-03-18	13726 
2018-03-19	6581 
2018-03-20	5782 
2018-03-21	6960 
2018-03-22	7843 
2018-03-23	9281 
2018-03-24	15682 
2018-03-25	16450 
2018-03-26	6706 
2018-03-27	8096 
2018-03-28	8150 
2018-03-29	8249 
2018-03-30	8216 
2018-03-31	11242 
2018-04-01	18749 
2018-04-02	7640 
2018-04-03	8904 
2018-04-04	22875 
2018-04-05	22213 
2018-04-06	13871 
2018-04-07	11951 
2018-04-08	14364 
2018-04-09	6262 
2018-04-10	6823 
2018-04-11	6453 
2018-04-12	5794 
2018-04-13	7010 
2018-04-14	8113 
2018-04-15	7643 
2018-04-16	5998 
2018-04-17	6205 
2018-04-18	7434 
2018-04-19	7304 
2018-04-20	8150 
2018-04-21	11989 
2018-04-22	11273 
2018-04-23	5880 
2018-04-24	5656 
2018-04-25	7194 
2018-04-26	7498 
2018-04-27	8014 
2018-04-28	11269 
2018-04-29	10893 
2018-04-30	7216 
2018-05-01	11718 
2018-05-02	7295 
2018-05-03	6347 
2018-05-04	8040 
2018-05-05	10214 
2018-05-06	9440 
2018-05-07	6507 
2018-05-08	6155 
2018-05-09	6434 
2018-05-10	7044 
2018-05-11	7641 
2018-05-12	8651 
2018-05-13	8297 
2018-05-14	5865 
2018-05-15	6198 
2018-05-16	6049 
2018-05-17	6550 
2018-05-18	6121 
2018-05-19	8011 
2018-05-20	8422 
2018-05-21	6348 
2018-05-22	6446 
2018-05-23	5992 
2018-05-24	6604 
2018-05-25	7130 
2018-05-26	7823 
2018-05-27	7880 
2018-05-28	5824 
2018-05-29	6575 
2018-05-30	6343 
2018-05-31	6861 
2018-06-01	8035 
2018-06-02	9700 
2018-06-03	8922 
2018-06-04	6376 
2018-06-05	6861 
2018-06-06	6456 
2018-06-07	7002 
2018-06-08	7485 
2018-06-09	10658 
2018-06-10	7532 
2018-06-11	5459 
2018-06-12	7542 
2018-06-13	6451 
2018-06-14	6225 
2018-06-15	6124 
2018-06-16	8603 
2018-06-17	10792 
2018-06-18	7168 
2018-06-19	6644 
2018-06-20	6760 
2018-06-21	6514 
2018-06-22	6436 
2018-06-23	8030 
2018-06-24	8255 
2018-06-25	5472 
2018-06-26	7208 
2018-06-27	6641 
2018-06-28	6754 
2018-06-29	6833 
2018-06-30	7681 
2018-07-01	8701 
2018-07-02	5819 
2018-07-03	7104 
2018-07-04	7182 
2018-07-05	7105 
2018-07-06	7397 
2018-07-07	8368 
2018-07-08	8469 
2018-07-09	5618 
2018-07-10	4303 
2018-07-11	3736 
2018-07-12	7016 
2018-07-13	7507 
2018-07-14	12604 
2018-07-15	9773 
2018-07-16	5619 
2018-07-17	7685 
2018-07-18	7387 
2018-07-19	7210 
2018-07-20	7424 
2018-07-21	9132 
2018-07-22	8303 
2018-07-23	5322 
2018-07-24	7054 
2018-07-25	7244 
2018-07-26	7369 
2018-07-27	7486 
2018-07-28	12321 
2018-07-29	9369 
2018-07-30	5732 
2018-07-31	7383 
2018-08-01	6403 
2018-08-02	6760 
2018-08-03	6627 
2018-08-04	9557 
2018-08-05	8668 
2018-08-06	5901 
2018-08-07	7266 
2018-08-08	6361 
2018-08-09	7037 
2018-08-10	7109 
2018-08-11	10275 
2018-08-12	7759 
2018-08-13	5944 
2018-08-14	6979 
2018-08-15	6841 
2018-08-16	7323 
2018-08-17	7445 
2018-08-18	9716 
2018-08-19	9083 
2018-08-20	5810 
2018-08-21	8003 
2018-08-22	7262 
2018-08-23	6929 
2018-08-24	5857 
2018-08-25	7781 
2018-08-26	8378 
2018-08-27	6057 
2018-08-28	7046 
2018-08-29	6196 
2018-08-30	5249 
2018-08-31	5417 
2018-09-01	7500 
2018-09-02	7535 
2018-09-03	5001 
2018-09-04	5534 
2018-09-05	5182 
2018-09-06	5523 
2018-09-07	5714 
2018-09-08	7254 
2018-09-09	3544 
2018-09-10	4405 
2018-09-11	5761 
2018-09-12	5808 
2018-09-13	5829 
2018-09-14	6264 
2018-09-15	5448 
2018-09-16	7482 
2018-09-17	5768 
2018-09-18	6477 
2018-09-19	6293 
2018-09-20	6100 
2018-09-21	6553 
2018-09-22	8647 
2018-09-23	9488 
2018-09-24	8331 
2018-09-25	6662 
2018-09-26	5483 
2018-09-27	6110 
2018-09-28	5814 
2018-09-29	6342 
2018-09-30	11888 
2018-10-01	6777 
2018-10-02	7868 
2018-10-03	7811 
2018-10-04	6396 
2018-10-05	7615 
2018-10-06	12329 
2018-10-07	10325 
2018-10-08	5651 
2018-10-09	7972 
2018-10-10	10289 
2018-10-11	5913 
2018-10-12	6487 
2018-10-13	7698 
2018-10-14	11254 
2018-10-15	6225 
2018-10-16	7029 
2018-10-17	6218 
2018-10-18	7139 
2018-10-19	6810 
2018-10-20	11844 
2018-10-21	13417 
2018-10-22	6501 
2018-10-23	6618 
2018-10-24	7295 
2018-10-25	7723 
2018-10-26	8112 
2018-10-27	12522 
2018-10-28	12464 
2018-10-29	6689 
2018-10-30	7278 
2018-10-31	6095 
2018-11-01	5625 
2018-11-02	5999 
2018-11-03	10536 
2018-11-04	11308 
2018-11-05	6124 
2018-11-06	7412 
2018-11-07	7375 
2018-11-08	7917 
2018-11-09	8486 
2018-11-10	12199 
2018-11-11	13575 
2018-11-12	6291 
2018-11-13	7078 
2018-11-14	7352 
2018-11-15	8123 
2018-11-16	8462 
2018-11-17	9541 
2018-11-18	12481 
2018-11-19	6006 
2018-11-20	7893 
2018-11-21	7788 
2018-11-22	6419 
2018-11-23	6561 
2018-11-24	9126 
2018-11-25	11360 
2018-11-26	6216 
2018-11-27	7145 
2018-11-28	6448 
2018-11-29	7993 
2018-11-30	8638 
2019-01-01	8520 
2019-01-02	7213 
2019-01-03	6424 
2019-01-04	8810 
2019-01-05	9053 
2019-01-06	5170 
2019-01-07	6284 
2019-01-08	6379 
2019-01-09	6848 
2019-01-10	7588 
2019-01-11	7723 
2019-01-12	9141 
2019-01-13	9750 
2019-01-14	6461 
2019-01-15	7776 
2019-01-16	5832 
2019-01-17	6763 
