oid,town_na,road_na,site,x,y,CDate,lon,lat
56,新莊區,思源路,中央分隔島,296389.347085,2771621.708257,2013-09-03 16:06:32.65,121.4597642,25.05205143
57,新莊區,思源路,中央分隔島,296392.691536,2771613.264819,2013-09-03 16:06:32.65,121.4597971,25.0519751
58,新莊區,思源路,中央分隔島,296391.79526,2771583.144927,2013-09-03 16:06:32.65,121.4597872,25.05170321
59,板橋區,文化路,人行道,296961.604326,2767993.139871,2013-09-03 16:06:32.65,121.4653121,25.01927491
60,新莊區,思源路,中央分隔島,296388.968917,2771590.521407,2013-09-03 16:06:32.65,121.4597594,25.05176989
61,新莊區,思源路,中央分隔島,296391.363706,2771592.604361,2013-09-03 16:06:32.65,121.4597832,25.05178862
62,新莊區,思源路,中央分隔島,296392.167561,2771602.731347,2013-09-03 16:06:32.65,121.4597915,25.05188002
63,新莊區,思源路,中央分隔島,296389.682582,2771606.132628,2013-09-03 16:06:32.65,121.459767,25.05191081
64,新莊區,思源路,中央分隔島,296392.460388,2771619.453409,2013-09-03 16:06:32.65,121.459795,25.05203098
65,新莊區,思源路,中央分隔島,296392.305077,2771608.802447,2013-09-03 16:06:32.65,121.4597931,25.05193483
66,新莊區,思源路,中央分隔島,296388.847985,2771587.68333,2013-09-03 16:06:32.65,121.4597581,25.05174427
67,新莊區,思源路,中央分隔島,296389.201278,2771579.926257,2013-09-03 16:06:32.65,121.4597613,25.05167423
68,新莊區,思源路,人行道,296379.62111,2771641.559265,2013-09-03 16:06:32.65,121.4596685,25.05223095
69,新莊區,思源路,人行道,296379.910768,2771629.763283,2013-09-03 16:06:32.65,121.459671,25.05212444
70,板橋區,文化路,人行道,296966.216464,2767999.097215,2013-09-03 16:06:32.65,121.465358,25.01932855
71,新莊區,思源路,人行道,296379.840326,2771623.507888,2013-09-03 16:06:32.65,121.45967,25.05206797
72,新莊區,思源路,人行道,296379.866413,2771616.935263,2013-09-03 16:06:32.65,121.4596701,25.05200863
73,新莊區,思源路,人行道,296379.788151,2771605.39045,2013-09-03 16:06:32.65,121.4596689,25.05190441
74,新莊區,思源路,人行道,296379.624549,2771596.637602,2013-09-03 16:06:32.65,121.459667,25.05182539
75,新莊區,思源路,人行道,296380.193619,2771590.125444,2013-09-03 16:06:32.65,121.4596724,25.05176658
76,新莊區,思源路,人行道,296420.259813,2771636.408794,2013-09-03 16:06:32.65,121.4600711,25.0521832
77,新莊區,思源路,人行道,296420.583024,2771630.830678,2013-09-03 16:06:32.65,121.4600741,25.05213283
78,新莊區,思源路,人行道,296420.733735,2771624.929351,2013-09-03 16:06:32.65,121.4600754,25.05207955
79,新莊區,思源路,人行道,296420.690458,2771619.049814,2013-09-03 16:06:32.65,121.4600747,25.05202647
80,新莊區,思源路,人行道,296420.647485,2771613.299197,2013-09-03 16:06:32.65,121.4600741,25.05197456
81,板橋區,文化路,人行道,296969.291222,2768003.901525,2013-09-03 16:06:32.65,121.4653886,25.01937183
